id	message	like_count
1432248350238550_1432323276897724	1413	9 dias para Bolsonaro virar Presidente.
Lula já pode contar nos dedos.
1432248350238550_1432322936897758	973	Se o seu Francisco seguisse o exemplo de Lula já sabemos onde ele estaria...
1432248350238550_1432326663564052	742	Esse faxineiro encontrou dinheiro no wc do aeroporto em Brasília. Perguntado se queria alguma homenagem, ele respondeu que queria conhecer o Presidente Lula, porém se decepcionou, quando pensou que o ex Presidente apoiaria o que ele fez, de devolver o dinheiro encontrado. LULA DISSE QUE MELHOR SERIA TER FICADO COM O DINHEIRO DOS OUTROS.
1432248350238550_1432323533564365	459	O Haddad pensa que é Tele Sena pra ele ganhar com menos pontos kkkkk
1432248350238550_1432323270231058	365	É só você não estuprar, não sequestrar, não praticar latrocínio que tu não vai pra la porra, acabou!

😎👉👉
1432248350238550_1432323250231060	149	Haddad falou que 156 empresas fizeram contratos de 12 milhões de reais  para difamar o pt no segundo turno. Seriam 62 bilhões e 400 milhões de envios. A terra tem 7 bilhões de habitantes. 

Bolsonaro descobriu vida em marte e mandou uns zap.
1432248350238550_1432345183562200	135	A pergunta que fica no ar: É possível criar notícias falsas sobre o PT que sejam piores que as verdadeiras?

#BOLSONARO17🇧🇷
#PTNUNCAMAIS
#MARKETEIROSDOJAIR
1432248350238550_1432325630230822	97	Bolsonaro nós todos os brasileiros estamos sofrendo com tudo em nosso país. Estamos todos unidos e com esperança de um Brasil melhor para todos. Fique sabendo vc esta sendo uma esperança muito grande em reverter todos os defeitos desse país . Estamos todos unidos pela fé. E a décadas estamos esperando um homem como o senhor vc nos transmite confiança esperança transferência e principalmente um homem digno de representar um país . Vc é nossa alegria em sorrir de novo e obrigado vc esta fazendo os corações ferido do povo em voltar a ser saudável e principalmente voltar a sentir orgulho novamente de ser brasileiro . Obrigado Jair nosso presidente . Particularmente eu estava com vergonha de ser brasileiro . Através do senhor voltei a acreditar no nosso Brasil. Deus abençoe sempre todos os dias de sua vida parabéns pelo exemplo de homem
1432248350238550_278640269652663	47	To quase virando meu voto 🤔
1432248350238550_1432336973563021	57	Eu percebi que tem muita menina que não gosta do Bolsonaro com medo do Zé droguinha dela ser preso..
1432248350238550_1432329856897066	64	Coitado  desse homem  queria  conhecer  o presidente  ganhar  autógrafo  tinha que ser  ao contrário  ele que  é um exemplo  de homem
1432248350238550_1432334470229938	64	Kkkk.. Você acha umas reportagens do fundo do baú, meu futuro presidente. Kaakakak

#Bolsonaro17
1432248350238550_1432329710230414	50	Que vergonha. O humilde faxineiro ficou constrangido e perplexo diante dos comentários.
1432248350238550_1432341993562519	42	Será que o Sr. Francisco ainda gostaria de visitar ele na cadeia ? Iria dizer poxa poderia ter seguido o meu exemplo !
1432248350238550_1432333070230078	46	URGENTE: Estados Unidos detecta ações do Hezbollah, Irã e Venezuela para interferir nas eleições brasileira. O doc. foi protocolado pelo secretário de estado americano e denunciado pelo parmentar Dana RohraBacher; ele diz temer pela vida de @jairbolsonaro. https://t.co/vtSA1K6OFA https://t.co/DS81RQjYJT
1432248350238550_1432341263562592	39	Lula se sentiu desconfortável ao lado d um sr. honesto.
1432248350238550_1432345496895502	27	A sorte que ele foi ver o presidente e não levou a bolsa, se não, teria voltado sem ela kkkkk
1432248350238550_1432334706896581	32	Capitão , tome cuidado ! Creio que ainda tentarão fazer algo contra o Senhor. Agora ou mesmo após eleito. Fique MUITO ATENTO !!! Reforce sua segurança , não se exponha muito e evite grandes aglomerações.
1432248350238550_1432330880230297	20	A última cartada do Haddad vai ser prometer um mundial pro Palmeiras 😂😂😂
1432248350238550_461393667598448	26	SHOW! EMOCIONANTE! De Arrepiar! NORDESTINO faz uma das homenagens mais bonitas em forma de música para BOLSONARO! é de Norte a Sul, É de Leste a Oeste, que o povo tá votando 17!
1432248350238550_1432331173563601	31	Vergonhoso uma pessoa dar um conselho desse e em se tratando de presidente é de dar nojo! Não à toa que está atrás das grades !!
1432248350238550_1432323933564325	30	Corrupção, a raiz de todos os males no Brasil.
#AcordaBrasil
#EuVimDeGraça
#MarqueteirodoJair
#MarketeiroDoJair
#B17
#EleSim
#PTnão
#PTnuncamais
#RNsemPT
#lulatapresobabaca
#folhafakenews
1432248350238550_1432335103563208	21	Seu Chico trabalhei com ele no aeroporto, tive o privilégio de conhece. Que Deus o tenha em um bom lugar 😢
1432248350238550_1432329126897139	11	AFF ... Pior que eu aconselhando alguem .. 

