post_id	date	message	num_likes	num_angry	num_shares
398845206932703_1619646634852548	2020-02-29T23:08:56+0000	"essa e para os que gostam de atacar a eficiencia da universidade publica. parabens aos pesquisadores do adolfo lutz/usp!"	1979	0	572
398845206932703_1619590241524854	2020-02-29T21:29:15+0000	"amanha!"	959	2	44
398845206932703_1619508038199741	2020-02-29T19:11:59+0000	"todos contra a reforma da previdencia de doria! na alesp, terca feira, as 14hs."	311	0	58
398845206932703_1619356328214912	2020-02-29T16:01:26+0000	"com luiza erundina e os coordenadores de nucleos do mtst na periferia de sao paulo."	2499	6	143
398845206932703_1619218554895356	2020-02-29T13:49:22+0000	"a grana por tras do dia 15 bolsonarista."	1850	717	1158
398845206932703_1618392334977978	2020-02-28T17:25:04+0000	"moro rastejante."	7327	1315	3661
398845206932703_1618252431658635	2020-02-28T14:54:21+0000	"vamos as ruas dia 18!"	7115	19	2870
398845206932703_1617612131722665	2020-02-28T00:37:09+0000	"vamos as ruas dia 18 em todo o brasil! contra bolsonaro, por democracia e direitos. #ditaduranuncamais #povosemmedo"	7814	668	9530
398845206932703_1617512548399290	2020-02-27T22:08:25+0000	"vamos as ruas dia 18!  contra bolsonaro, em defesa da democracia e dos direitos. #ditaduranuncamais"	9738	22	5964
398845206932703_1617182471765631	2020-02-27T14:10:57+0000	"estamos juntos dani portela. basta de violencia policial!"	854	249	147
398845206932703_1617092505107961	2020-02-27T12:14:02+0000	"quando estiver na fila do posto se saude, sem medico ou sem remedio se lembre do paulo guedes e do bolsonaro. sao eles que mantem essa politica assassina."	1674	388	1338
398845206932703_1615748418575703	2020-02-26T02:21:12+0000	"vamos as ruas contra bolsonaro! #povosemmedo"	12783	20	3455
398845206932703_1615620335255178	2020-02-25T22:55:57+0000	"invasao corinthiana... "	1201	5	143
398845206932703_1615591248591420	2020-02-25T22:07:24+0000	"viva paulo freire!"	9909	3	1660
398845206932703_1615434068607138	2020-02-25T18:09:59+0000	"video: pm deixou baleados agonizarem na rua e jogou bomba em quem reclamou em osasco.   a cada dia, um novo episodio de barbarie policial no pais."	1914	1758	1664
398845206932703_1615204125296799	2020-02-25T13:38:38+0000	"adnet ridicularizando bolsonaro na avenida nao tem preco. parabens, sao clemente!"	27626	56	7744
398845206932703_1614673295349882	2020-02-24T22:55:58+0000	"viva a luta das mulheres!"	2872	2	951
398845206932703_1614399505377261	2020-02-24T16:28:27+0000	"to com elza soares. vamos?"	6493	3	1756
398845206932703_1614213828729162	2020-02-24T12:36:25+0000	"jesus retratado como jovem negro. parabens, mangueira, mais uma vez!"	7654	25	487
398845206932703_1613796432104235	2020-02-24T01:19:34+0000	"ocupando o banheiro quimico no carnaval de sao paulo...  flagrante via boulos invadiu meu coracao"	4990	3	677
398845206932703_1613550815462130	2020-02-23T18:48:17+0000	"os riscos do terraplanismo."	1886	8	903
398845206932703_1612660062217872	2020-02-22T20:06:00+0000	"make mamata great again (versao bolsonaro)."	8133	11	294
398845206932703_1612554832228395	2020-02-22T17:33:42+0000	"dom helder camara."	2506	0	1081
398845206932703_1612345018916043	2020-02-22T13:39:47+0000	"escola militar negando direito basico a organizacao sindical."	1239	1408	955
398845206932703_1612270895590122	2020-02-22T12:05:28+0000	"parabens a tom maior, que fez um desfile antirracista com destaque para marielle. #mariellepresente"	16326	11	3030
398845206932703_1611766985640513	2020-02-21T22:26:39+0000	"desrespeito aos professores."	4961	550	1533
398845206932703_1611632712320607	2020-02-21T19:07:09+0000	"solidariedade ao fabio felix!"	222	2	24
398845206932703_1611487732335105	2020-02-21T16:02:17+0000	"novo clipe do baiana system, com participacao do suricate seboso, gravado no residencial jose euclides, conquista do mtst em fortaleza. assistam!"	851	3	167
398845206932703_1610672512416627	2020-02-20T21:00:02+0000	"mtst e povo sem medo em apoio aos petroleiros hoje em sao paulo."	1448	7	155
398845206932703_1610636829086862	2020-02-20T20:04:10+0000	"programas que estimulam a violencia descumprem o principio da concessao publica."	2430	204	340
398845206932703_1610530132430865	2020-02-20T17:32:33+0000	"bolsonaro e sua claque."	2912	306	1301
398845206932703_1609872695829942	2020-02-20T01:51:08+0000	"hoje o doutor socrates completaria 66 anos. simbolo do futebol arte e engajado, inspirador da democracia corinthiana. parabens, doutor!"	3569	0	536
398845206932703_1609562102527668	2020-02-19T17:45:49+0000	"golpista de longa data."	4192	67	1740
398845206932703_1609447365872475	2020-02-19T15:27:27+0000	"os petroleiros estao dando exemplo. por paulo kalvo"	3309	5	1068
398845206932703_1609326595884552	2020-02-19T13:10:21+0000	"absurdo! policiais espancam alunos e apontam arma dentro de uma escola. foi na ee emygio de barros, em sao paulo."	2756	4391	6196
398845206932703_1608833602600518	2020-02-18T23:18:39+0000	"boulos fala para os petroleiros em greve hoje no rio de janeiro. #equipeboulos"	5387	113	1361
398845206932703_1608814459269099	2020-02-18T22:43:56+0000	"ato nacional em apoio a greve dos petroleiros."	2049	2	222
398845206932703_189351868943941	2020-02-18T20:12:36+0000	"#aovivo ato nacional em apoio a greve dos petroleiros, no rio de janeiro."	8839	202	3188
398845206932703_1608388692645009	2020-02-18T12:50:59+0000	"nesta manha o mtst fez ato de apoio a greve dos petroleiros na refinaria de capuava, na regiao do abc. forca, petroleiros!"	1675	4	231
398845206932703_1608337762650102	2020-02-18T11:39:25+0000	"boulos e erundina nas periferias de sp!"	1238	3	137
398845206932703_1607975619352983	2020-02-18T00:45:40+0000	"nesta terca serei entrevistado por fabio pannunzio ao vivo no seu canal do youtube."	524	1	64
398845206932703_1607916736025538	2020-02-17T23:09:56+0000	"vergonha!"	3456	1469	1787
398845206932703_1607853469365198	2020-02-17T21:25:20+0000	"grande darcy ribeiro!"	2889	1	1050
398845206932703_1607589789391566	2020-02-17T15:52:27+0000	"nesta terca tem ato nacional em apoio a greve dos petroleiros."	1292	5	372
398845206932703_1606917729458772	2020-02-16T21:42:05+0000	"siga o canal do boulos no youtube! pra fazer a disputa de ideias nas redes sociais. #equipeboulos  https://www.youtube.com/channel/ucfwzvnkpqwkmbiohj26ienq"	451	0	29
398845206932703_1606821129468432	2020-02-16T19:07:56+0000	"amanha em sao paulo!"	1231	0	296
398845206932703_1606765066140705	2020-02-16T17:42:26+0000	"novo site do ultrajano: futebol e critica social. vale muito a pena!"	192	0	20
398845206932703_1606561416161070	2020-02-16T13:21:10+0000	"grande arnaldo antunes!"	6308	2	1553
398845206932703_1605947852889093	2020-02-15T20:12:54+0000	"sociopata."	3902	14	1103
398845206932703_1605772422906636	2020-02-15T16:24:23+0000	"no bloco de carnaval da povo sem medo ontem em sao paulo."	15087	12	615
398845206932703_1605654746251737	2020-02-15T14:32:07+0000	"estamos com os petroleiros. daniel pxeira"	6970	6	1923
