id	message	like_count
768494520168447_768541800163719	120	Sim , o Brasil tem jeito e nós temos a chace de mudar isso no dia 07/10 vote 13 e vamos ser feliz de novo!  #HaddadPresidente
768494520168447_768582383492994	163	Haddad foi um dos piores Prefeitos de São Paulo E agora Quer ser Presidente do Brasil que coisa heim
768494520168447_768531370164762	108	Durante o governo Lula e ao lado de Fernando Haddad, dobramos o número de vagas nas universidades federais, além de disponibilizar 50% das vagas para os alunos do ensino público. 

Trabalhamos juntos na criação do Fies e do Prouni, que inseriu ainda mais jovens no ensino superior. 

Agora, no Senado e com o Haddad na presidência, faremos ainda mais por Minas Gerais. Vamos, juntos, fazer o Brasil Feliz de Novo!

 #Miguel130 #Dilma133 #Pimentel13 #LulaHaddadManu13 #ConstruindoOportunidades #EmpregoDoFuturo #SeuPrimeiroNegócio #ComigoVocêPodeMais #MiguelCorrea
768494520168447_146800439603605	112	Como pode isso, o Lula preso, Hadade é investigado por formação de quadrilha, e todo dia aparece novas acusações, como as de Palocci um dos fundadores do PT... E ainda tem gente que quer o PT no governo denovo, pelo amor de Deus. Vamo ser burro, mais desse tanto já é demais...#Bolsonarofichalimpa
768494520168447_768563243494908	58	#LULAÉHADDAD, FÁCIL LEMBRAR! Falta pouco para o povo voltar ao poder! #Vote13 #HaddadPresidente  <3
768494520168447_768675276817038	61	Bora lá povo brasileiro sofrido mas valente ✊ 
Votar no #HaddadPresidente  😍
Sem medo  ✊ 
Vamos ser feliz, é 13 neles  ✊ ✊ ✊
768494520168447_768679276816638	52	Povo brasileiro se temos nossas opiniões formada, não adianta feke News, pesquisas,com fulano ou beltrano na frente a verdade veremos nas urnas, 13 e confima repita 13 outra vez e confima.
768494520168447_768653016819264	48	É só cara para ser o presidente do Brasil força nação brasileira Haddad na cabeça 13 13 13
768494520168447_103677807279881	37	Povo anti patriota nenhuma bandeira do Brasil. 
Só vermelho.... o sangue suga da sociedade
768494520168447_103767083937620	39	O povo fala que o PT quebrou o Brasil mais no tempo do Lula nunca vi tanta gente trocando de carro comprando a casa própria tinha emprego pra escolher e só passou fome quem não quis trabalhar
768494520168447_301878690403223	40	O gente , perderam a noção? 12 anos não foram suficiente para acabar com o Brasil? PT nunca mais
768494520168447_768565380161361	32	Bem q minha vo  falava enquanto existe  pau torto e farinha de mandioca os bobo não acaba!!!!
768494520168447_768743813476851	33	O Brasil tem jeito... Mas não nas mãos de quem as estragou 😥 ngm quer mais viver esse pesadelo de novo! Chega!
768494520168447_545263215934367	32	Pt organização criminosa.pior q PCC .o país vai ser governado de dentro da cadeia.quebraram o Brasil.e agora  tem a solução.conta outra.vegonhoso isso.
768494520168447_768663100151589	26	IChama,Chama 🎸  Chama,Chama    🎼  🎸 que o povo quer  🎶  🎸
Chama, chama  🥁a que o #Haddad dá jeito 🎶 🎸 🥁
É o Brasil feliz de novo 🎷 🎶 🎸 #HaddadManu 😍🎵🎤🌟
768494520168447_2198608423730702	26	Olha lá uma estrela q tentaro apagar Lula,   iremos por vc 13 é haddad
768494520168447_768569480160951	38	Sou petista sou Lulista. 
Haddad meu seu nosso presidente .É Lula de novo é 13 neles.
768494520168447_447328735794397	19	O Brasil precisa de gente que tente consertar o estrago que o PT fez,ficou todo tempo e nada fez,agora vai salvar a Pátria?O povo acordou.
